query,intent,difficulty,domain,variation,length
"I'm getting a connection error. How do I fix it? - this is urgent!","debugging","beginner","data-science","urgent",66
"I would like to know: What's wrong with my async code?","debugging","intermediate","api-design","formal",54
"Optimize database queries for resource usage. Can you explain in detail with examples?","command","intermediate","monitoring","detailed",86
"Ugh, implement oblivious RAM for database queries???","command","advanced","devops","frustrated",52
"I'm not sure, but given network timeouts and retries, what can we conclude?","code_generation","advanced","security","confused",75
"Create an analogy for APIs (advanced/expert level)","creative","intermediate","data-science","expert",50
"What are common pitfalls when working with Rust ownership? - please explain for a beginner","query","intermediate","testing","beginner-friendly",90
"How do I trace a performance issue in async code? - please explain for a beginner","debugging","advanced","mobile-development","beginner-friendly",81
"How does throughput relate to user experience?","code_generation","intermediate","blockchain","standard",46
"I'm working on a new feature and need advice","conversation","beginner","fullstack","standard",44
"Hi, can you help me with architecture?","conversation","beginner","cloud","standard",38
"hey, i'm experiencing slow queries. How can I optimize?","analysis","intermediate","database","casual",55
"My application is returning errors. Help!","debugging","intermediate","data-science","concise",41
"What strategies can I use to improve query performance? (technical details please)","analysis","intermediate","monitoring","technical",82
"hey, what are the theoretical limits of caching strategies?","query","advanced","backend","casual",59
"How do I allocate resources for cost constraints? - this is urgent!","analysis","advanced","embedded-systems","urgent",67
"What are the mathematical foundations of machine learning?. Can you explain in detail with examples?","query","advanced","mobile-development","detailed",100
"Design a architecture for content management (advanced/expert level)","creative","intermediate","cloud","expert",68
"That makes sense. Now, what about performance considerations?. Can you explain in detail with examples?","conversation","intermediate","database","detailed",103
"hey, what tools can I use to debug distributed systems?","debugging","intermediate","machine-learning","casual",55
"I would like to know: What strategies can I use to improve response time?","analysis","intermediate","backend","formal",73
"I'm not sure, but what's wrong with my SQL query?","debugging","intermediate","embedded-systems","confused",49
"I'm not sure, but optimize frontend rendering for scalability","command","intermediate","gamedev","confused",61
"Just wondering, generate test data for performance testing?","creative","beginner","blockchain","curious",59
"hey, how do I optimize frontend rendering?","analysis","intermediate","blockchain","casual",42
"How do I scale my database to handle higher concurrency? - this is urgent!","analysis","advanced","blockchain","urgent",74
"What do you think about Kubernetes?","conversation","intermediate","blockchain","standard",35
"I would like to know: Design a database schema for social media","creative","intermediate","blockchain","formal",63
"I would like to know: Do you have experience with blockchain?","conversation","intermediate","fullstack","formal",61
"Ugh, hi, can you help me with database design????","conversation","beginner","system-design","frustrated",49
"Ugh, teach me Python fundamentals???","command","beginner","performance","frustrated",36
"Thanks for the help with the code review - please explain for a beginner","conversation","beginner","machine-learning","beginner-friendly",72
"I would like to know: How can I improve performance in Rust?","query","intermediate","system-design","formal",60
"Can you prove this design is sound?","code_generation","advanced","fullstack","concise",35
"Thanks for the help with debugging (advanced/expert level)","conversation","beginner","embedded-systems","expert",58
"hey, what are the implications of linearizability?","code_generation","advanced","performance","casual",50
"Why am I getting ValidationError when connecting to the database? - please explain for a beginner","debugging","beginner","database","beginner-friendly",97
"How do I investigate performance degradation in distributed systems?","debugging","advanced","monitoring","concise",68
"Just wondering, can you clarify what you mean by horizontal scaling??","conversation","intermediate","security","curious",69
"Invent a algorithm for processing events - please explain for a beginner","creative","advanced","cloud","beginner-friendly",72
"Debug the error in my API call (advanced/expert level)","command","beginner","frontend","expert",54
"I'm not sure, but i'm working on a migration and need advice","conversation","beginner","fullstack","confused",60
"Ugh, i'm seeing connection refused in my logs. What does it mean????","debugging","intermediate","fullstack","frustrated",68
"Write a tutorial about GraphQL - please explain for a beginner","creative","beginner","blockchain","beginner-friendly",62
"Ugh, is monolith a good idea for our use case????","conversation","intermediate","monitoring","frustrated",49
"How do I scale my application to handle more users?. Can you explain in detail with examples?","analysis","advanced","blockchain","detailed",93
"What are the implications of linearizability? (advanced/expert level)","code_generation","advanced","backend","expert",69
"Just wondering, what is the logical sequence for migrating to microservices??","code_generation","advanced","frontend","curious",77
"Ugh, what's wrong with my async code????","debugging","intermediate","backend","frustrated",40
"hey, why am I getting ReferenceError when authenticating?","debugging","beginner","machine-learning","casual",57
"Ugh, give me a code example for implementing a REST API???","command","beginner","web-development","frustrated",58
"If I implement caching, then will throughput increase? (technical details please)","code_generation","intermediate","security","technical",81
"Have you seen this error before? - please explain for a beginner","conversation","intermediate","database","beginner-friendly",64
"I'm not sure, but why does race conditions occur?","code_generation","advanced","frontend","confused",49
"Tell me about continuous integration (advanced/expert level)","query","beginner","mobile-development","expert",60
